（親）ASIN,（子）ASIN,タイトル,SKU,セッション数 - 合計,セッション数 - 合計 - B2B,セッション率 - 合計,セッション率 - 合計 - B2B,ページビュー - 合計,ページビュー - 合計 - B2B,ページビュー率 - 合計,ページビュー率 - 合計 - B2B,おすすめ出品（おすすめ商品）の獲得率,おすすめ出品（おすすめ商品）の獲得率 - B2B,注文された商品点数,注文点数 - B2B,ユニットセッション率,ユニットセッション率 - B2B,注文商品の売上額,注文商品の売上額 - B2B,注文品目総数,注文品目総数 - B2B
B0GSQGJVRH,B0GSQ98RVH,クーリア シール キラシャカジュエリーシール ミータイムホーミーズ 01206,pr_1296040_20260709_31555887_0001,690,3,0.11%,0.05%,827,4,0.09%,0.05%,14.22%,50.00%,4,1,0.58%,33.33%,"￥2,000",￥500,4,1
B0GTNG6XZR,B0GTN3DDB7,クーリア バインダー キラキラシールバインダー ハート 01283,pr_1296040_20260709_31556609_0001,345,1,0.05%,0.02%,454,1,0.05%,0.01%,23.82%,0.00%,5,0,1.45%,0.00%,"￥3,000",￥0,4,0
B0H9QPJHCH,B0H9QPJHCH,【セット品】アリエール MiRAi 超濃縮 液体 爽快COOL 本体410g＋詰め替え920g セット 涼感リフレッシュクールの香り コンパクト洗濯洗剤 すすぎ1回OK タテ型 ドラム式対応 夏限定,SET-4879-4893,97,1,0.02%,0.02%,147,3,0.02%,0.03%,100.00%,100.00%,4,0,4.12%,0.00%,"￥11,920",￥0,4,0
B000BNEQXS,B000BNEQXS,泡ぶくミトン,pr_1296040_20251126_28705454_0001,36,1,0.01%,0.02%,46,1,0.00%,0.01%,33.33%,0.00%,3,0,8.33%,0.00%,"￥2,940",￥0,3,0
B0CCV2Y4G6,B00MWK6ZEQ,マンダム ルシードエル オイルトリートメント EXヘアオイル 60ml,pr_1296040_20251009_28116672_0001,"2,210",14,0.35%,0.22%,"2,998",20,0.32%,0.23%,0.25%,0.00%,3,0,0.14%,0.00%,"￥4,548",￥0,3,0
B0BN15GR4T,B00XD8FY8O,デオタンニング　薬用ストロングソープ 2個セット,pr_1296040_20251120_28635831_0001,137,0,0.02%,0.00%,221,0,0.02%,0.00%,38.97%,0.00%,3,0,2.19%,0.00%,"￥5,280",￥0,3,0
B073DXFR9B,B073DXFR9B,(白元アース)アイスノン シャツミスト ミントの香り 大容量 300ml（お買い得2個セット）,pr_1296040_20260428_30594124_0001,40,4,0.01%,0.06%,52,7,0.01%,0.08%,87.23%,57.14%,3,3,7.50%,75.00%,"￥5,541","￥5,541",3,3
B0FFSP2CLJ,B07B9C6FZV,アイメディア(Aimedia) 風呂水ポンプまとめてキレイ 3回分 風呂洗剤 洗濯機 風呂水 給水ポンプ ホース 洗浄剤 ヌメリ フィルター,pr_1296040_20260403_30216476_0001,457,5,0.07%,0.08%,610,7,0.07%,0.08%,4.92%,0.00%,5,0,1.09%,0.00%,"￥5,780",￥0,3,0
B07NWV228X,B07L3SYZ5M,メイベリン リップ シャインコンパルジョン SPK21 チェリーピンク ツヤ,pr_1296040_20250830_27663851_0001,109,0,0.02%,0.00%,143,0,0.02%,0.00%,24.29%,0.00%,6,0,5.50%,0.00%,"￥7,200",￥0,3,0
B084MSTHB1,B084MSTHB1,角栓溶かす ジェル&スクラブ,pr_1296040_20251108_28444843_0001,212,1,0.03%,0.02%,267,1,0.03%,0.01%,26.21%,100.00%,3,0,1.42%,0.00%,"￥4,440",￥0,3,0
B0G7HWSWHK,B08CZWJNYV,アイメディア(Aimedia) 静電気防止スプレー 300ml 62着分 日本製 クリーニング屋さん品質 パチパチ対策 花粉対策 静電気対策 無香料,pr_1296040_F_20260411_30304441_0001,157,1,0.02%,0.02%,178,1,0.02%,0.01%,9.30%,0.00%,3,0,1.91%,0.00%,"￥3,810",￥0,3,0
B0GX1C97SW,B08WSHQWL8,肌ラボ 白潤プレミアム 薬用浸透美白クリーム [医薬部外品] 50グラム,pr_1296040_20251120_28635210_0001,"2,589",33,0.41%,0.53%,"3,667",38,0.39%,0.43%,0.18%,0.00%,3,0,0.12%,0.00%,"￥6,030",￥0,3,0
B09CCJ41XF,B09CCJ41XF,【セット販売】銀のスプーン にっぽんSelect とろリッチ 2種のアソート 焼津産まぐろ節使用＆枕崎産かつお節使用（6g×8本）×5コ,pr_1296040_20260329_30160975_0001,26,1,0.00%,0.02%,35,1,0.00%,0.01%,96.88%,100.00%,3,0,11.54%,0.00%,"￥3,840",￥0,3,0
B0B3XCXR5B,B0B3XH69V8,和みのうるうる水綿棒 個包装 50本入×7個,pr_1296040_20260411_30305204_0001,218,2,0.03%,0.03%,336,2,0.04%,0.02%,8.52%,0.00%,6,0,2.75%,0.00%,"￥9,600",￥0,3,0
B0BLY4DVK7,B0BLXZ3CSD,コスメテックスローランド エアリー&イージー グロッシーヘアワックス100g×2個,pr_1296040_20240328_20430434_0001,111,0,0.02%,0.00%,141,0,0.02%,0.00%,87.12%,0.00%,3,0,2.70%,0.00%,"￥5,850",￥0,3,0
B0CKWV1NS8,B0CKWV1NS8,ライオン ソフラン アロマリッチ キャサリン つめかえ用 特大 (950mL) 詰め替え用 柔軟剤,pr_1296040_20251118_28596716_0001,200,2,0.03%,0.03%,245,2,0.03%,0.02%,12.33%,50.00%,4,0,2.00%,0.00%,"￥4,100",￥0,3,0
B0D21N8B9T,B0D21N8B9T,ロイヤルカナン FHN インドア +7 猫用 400g フィーライン ヘルス ニュートリション ドライ キャットフード チキン味 室内で生活する7歳以上の高齢猫用,pr_1296040_F_20260401_30194040_0001,22,0,0.00%,0.00%,28,0,0.00%,0.00%,100.00%,0.00%,5,0,22.73%,0.00%,"￥8,690",￥0,3,0
B0D28N991R,B0D28N991R,フィリップス 電動歯ブラシ ソニッケアー ダイヤモンドクリーン9000 ワンランク上の白さへ,pr_1296040_20250722_27264036_0001,"4,866",51,0.77%,0.82%,"6,770",76,0.72%,0.87%,0.08%,0.00%,3,0,0.06%,0.00%,"￥76,440",￥0,3,0
B0D6GCKFCP,B0D6GCKFCP,GOAT'S MILK ゴートミルク ソープ 6個セット スイートベビーパウダーの香り 固形せっけん石鹸,pr_1296040_20250927_27978182_0001,"1,253",13,0.20%,0.21%,"1,711",16,0.18%,0.18%,1.83%,0.00%,3,1,0.24%,7.69%,"￥2,790",￥930,3,1
B0DGLWF4P5,B0D6RQT442,ロイヤルカナン FHN インドア ロングヘアー 猫用 4kg キャットフード ドライ（オリジナルおしぼりセット） (4kg),MZ-VBRX-QWR9,11,0,0.00%,0.00%,14,0,0.00%,0.00%,100.00%,0.00%,4,0,36.36%,0.00%,"￥35,120",￥0,3,0
B0DGPYRB49,B0DGPS3K6K,黒瀬ペットフード 長崎県産 あわの穂 80g (1個),AM-KAFN-973E,34,0,0.01%,0.00%,44,0,0.00%,0.00%,95.00%,0.00%,3,0,8.82%,0.00%,"￥4,494",￥0,3,0
B0DKSKVX6D,B0DKS7KSRB,ドクターズチョイス おいしい納豆菌 ふりかけタイプ 80g (4袋),RD-LGR5-P7Y1,15,1,0.00%,0.02%,18,1,0.00%,0.01%,100.00%,0.00%,3,0,20.00%,0.00%,"￥11,940",￥0,3,0
B0DKSKVX6D,B0DKSPG7VK,ドクターズチョイス おいしい納豆菌 ふりかけタイプ 80g (5袋),A1-ISD4-FGSX,400,1,0.06%,0.02%,467,2,0.05%,0.02%,100.00%,0.00%,4,0,1.00%,0.00%,"￥20,720",￥0,3,0
B0F18S5YX3,B0DNM4FZYY,ラビオーム 【ロート製薬】 バリアビオソープ ポンプ本体 180ml フローラルの香り デリケート部位用ジェルソープ(乳酸菌 弱酸性 防腐剤フリー 敏感肌パッチテスト済)オンライン先行発売,pr_1296040_20251120_28636032_0001,"2,130",10,0.34%,0.16%,"2,818",11,0.30%,0.13%,0.76%,0.00%,3,0,0.14%,0.00%,"￥3,750",￥0,3,0
B0FCY4XT2J,B0DNT6RSPJ,【セット品】日本ペットフード バーディー うずらフード １ｋｇ 鳥 フード 餌 えさ 種 穀類 (２袋),IA-LFXR-IZK4,17,0,0.00%,0.00%,23,0,0.00%,0.00%,95.00%,0.00%,3,0,17.65%,0.00%,"￥5,940",￥0,3,0
B0DQ86B7G8,B0DQ86B7G8,サンライズ ゴン太の歯磨き専用ガムSSサイズ L8020乳酸菌入り ブルーベリー味 120g 2袋セット 犬用,4973321945755-2,24,0,0.00%,0.00%,31,0,0.00%,0.00%,100.00%,0.00%,3,0,12.50%,0.00%,"￥3,240",￥0,3,0
B0DZ2K7LCD,B0DZ2K7LCD,ペティオ (Petio) 犬猫用マット 防ダニ加工 ふれた瞬間ひんやりマット L,pr_1296040_20250625_26751819_0001,110,0,0.02%,0.00%,162,0,0.02%,0.00%,50.71%,0.00%,3,0,2.73%,0.00%,"￥4,140",￥0,3,0
B0F1KPMQCP,B0F1KPMQCP,セグレタ プレミア 艶ときデタングルブラシ ヘアブラシ セグレタ,pr_1296040_20251107_28437207_0001,382,1,0.06%,0.02%,490,1,0.05%,0.01%,17.43%,0.00%,3,0,0.79%,0.00%,"￥8,100",￥0,3,0
B0GRSV7W2Z,B0FRS8BY3V,クーリア バインダー バッグマイシールバインダー もふころりん／ねこ 01115,pr_1296040_20260330_30175428_0001,95,0,0.01%,0.00%,138,0,0.01%,0.00%,29.20%,0.00%,3,0,3.16%,0.00%,"￥2,940",￥0,3,0
B0FZ3Y7QNM,B0FZ3Y7QNM,リポソームショット クレンジングブースター 180ml シャンプー前の頭皮ケア,pr_1296040_20260711_31582245_0001,113,1,0.02%,0.02%,151,1,0.02%,0.01%,8.27%,0.00%,3,0,2.65%,0.00%,"￥3,390",￥0,3,0
B0GTNG6XZR,B0GTNG34QZ,クーリア バインダー キラキラシールバインダー デイジーA 01280,pr_1296040_20260709_31556629_0001,326,1,0.05%,0.02%,419,1,0.04%,0.01%,19.95%,0.00%,3,0,0.92%,0.00%,"￥1,800",￥0,3,0
B0H5QMNR9N,B0H5QMNR9N,ミツエイ MAGNOLIA FRAGRANCE BLOOM ファブリックリフレッシャー 350ml オリジナルスパウトパウチ付き 消臭スプレー 除菌99.9％ 布製品用スプレー 衣類 ソファ カーテン 寝具 芳香 消臭 除菌 マグノリアフレグランスブルーム 本体,L1-R5FP-CFXO,18,0,0.00%,0.00%,25,0,0.00%,0.00%,100.00%,0.00%,4,0,22.22%,0.00%,"￥5,920",￥0,3,0
B0H6G5W312,B0H6FVKGND,【セット品】猫専用 おいしい納豆菌 かつお味 ササミ味 80g×2個セット 猫用おやつ 納豆菌配合 腸内環境 サポート 乳酸菌 キャットフード おやつ 猫間食 国産 (2),XW-NDHF-MOY1,10,0,0.00%,0.00%,13,0,0.00%,0.00%,100.00%,0.00%,3,0,30.00%,0.00%,"￥6,740",￥0,3,0
B01M5CTWHH,B000V2FG38,シッカロールキュア 140g,4987244145055-a,144,4,0.02%,0.06%,192,5,0.02%,0.06%,7.39%,50.00%,3,2,2.08%,50.00%,"￥3,294","￥2,196",2,1
B00W3AXKSE,B00W3AXKSE,チョイあげ チョイでか 犬用おやつ ささみガムの星 7個 (x 3) (まとめ買い),pr_1296040_20250718_27233084_0001,270,1,0.04%,0.02%,362,1,0.04%,0.01%,0.61%,0.00%,2,0,0.74%,0.00%,"￥2,304",￥0,2,0
B01N4NRDEP,B01N4NRDEP,ペロQ ２種×１６本 計３２本,pr_1296040_20250718_27232966_0001,78,1,0.01%,0.02%,80,1,0.01%,0.01%,21.25%,0.00%,3,0,3.85%,0.00%,"￥13,500",￥0,2,0
B07K6SWJCM,B07GVMH1BB,アドメイト (ADD. MATE) リールリードアドバンス Mサイズ ブルー,pr_1296040_20250704_27071497_0001,12,0,0.00%,0.00%,18,0,0.00%,0.00%,100.00%,0.00%,2,0,16.67%,0.00%,"￥1,998",￥0,2,0
B0DKX9B2TS,B08XB9YVXM,ペティオ (Petio)犬用食器 Porta 木目調 陶器食器 M,pr_1296040_20250502_25798206_0001,9,0,0.00%,0.00%,20,0,0.00%,0.00%,82.35%,0.00%,12,0,133.33%,0.00%,"￥10,584",￥0,2,0
B09229MWMT,B09229MWMT,ペロQ 犬用おやつ スイートポテト味 8個セット (まとめ買い),pr_1296040_20240405_20510585_0001,75,2,0.01%,0.03%,120,2,0.01%,0.02%,13.51%,0.00%,2,0,2.67%,0.00%,"￥2,400",￥0,2,0
B09FZ8P3W4,B09FZ8P3W4,ペロQ 犬用おやつ ビーフ&チーズ（4本） チキン&ミルク（4本）まとめ買い【8本セット】,2023_1128_3367_new_736_6,209,0,0.03%,0.00%,219,0,0.02%,0.00%,0.93%,0.00%,2,0,0.96%,0.00%,"￥2,560",￥0,2,0
B09L1H1CCH,B09L1H1CCH,リベルタ カビ取り剤 【弱酸性デイリーカビ退治】カビダッシュ防カビ・抗菌プラス 排水口 パイプクリーナー ゴムパッキン 浴室 お風呂 リニューアル,pr_1296040_20260403_30217809_0001,44,0,0.01%,0.00%,64,0,0.01%,0.00%,31.03%,0.00%,2,0,4.55%,0.00%,"￥2,960",￥0,2,0
B09XXSMK31,B09XXSMK31,デビフ 鶏肉&さつまいも 150g×3個 【まとめ買い】150グラム (x 3),pr_1296040_20260617_31248168_0001,111,0,0.02%,0.00%,111,0,0.01%,0.00%,98.20%,0.00%,4,0,3.60%,0.00%,"￥5,276",￥0,2,0
B0CV7PJ7YP,B0BX2C1YFR,ゴミ袋 取っ手付き ポリ袋 LLサイズ 300枚 乳白 縦53cm×横29.5cm マチ14.5cm 取り出しやすい コンパクト 収納 ごみ袋,pr_1296040_20241108_23142203_0001,93,8,0.01%,0.13%,126,14,0.01%,0.16%,23.58%,33.33%,2,0,2.15%,0.00%,"￥5,960",￥0,2,0
B0BY135MQY,B0BY135MQY,マルカン りんご大収穫祭 サクふわフリーズドライ ４５ｇ おやつ 保存料・着色料・砂糖不使用,pr_1296040_20240803_21754438_0001,71,0,0.01%,0.00%,77,0,0.01%,0.00%,0.00%,0.00%,4,0,5.63%,0.00%,"￥3,996",￥0,2,0
B0CV7PJ7YP,B0C27GG96R,ゴミ袋 取っ手付き ポリ袋 Lサイズ 300枚×2個セット 乳白 縦48cm×横25.5cm マチ13.5cm 取り出しやすい コンパクト 収納 ごみ袋,pr_1296040_20241108_23142168_0001,36,5,0.01%,0.08%,53,5,0.01%,0.06%,43.40%,60.00%,2,0,5.56%,0.00%,"￥8,960",￥0,2,0
B0CWG8S8Y8,B0CWG8S8Y8,肌ラボ 白潤 薬用美白化粧水 しっとり 大容量ポンプ 400ml,pr_1296040_20251120_28634907_0001,"2,284",7,0.36%,0.11%,"3,307",8,0.35%,0.09%,0.00%,0.00%,2,0,0.09%,0.00%,"￥4,046",￥0,2,0
B0CWY16P9Q,B0CWY16P9Q,ロイヤルカナン ステアライズド 避妊・去勢 成猫用 生後12ヵ月齢以上 400g 猫用 (オリジナルおしぼり付),3182550927369-1,27,0,0.00%,0.00%,34,0,0.00%,0.00%,100.00%,0.00%,2,0,7.41%,0.00%,"￥3,478",￥0,2,0
B0D6RBGR2D,B0CXHYSH9B,ペティオ (Petio) 犬猫用マット 電気を使わない アルミ＆ジェル ソフトクールマット M,pr_1296040_20250625_26753486_0001,126,2,0.02%,0.03%,180,4,0.02%,0.05%,31.01%,100.00%,2,0,1.59%,0.00%,"￥2,080",￥0,2,0
B0D2225VHG,B0D2225VHG,ロイヤルカナン FCN ヘアボール ケア 猫用2kg 毛玉が気になる成猫用 ドライ キャットフード,3182550721400,22,1,0.00%,0.02%,34,2,0.00%,0.02%,100.00%,100.00%,2,0,9.09%,0.00%,"￥10,960",￥0,2,0
B0D2225VHG,B0D2225VHG,ロイヤルカナン FCN ヘアボール ケア 猫用2kg 毛玉が気になる成猫用 ドライ キャットフード,pr_1296040_F_20260318_30003482_0001,22,1,0.00%,0.02%,34,2,0.00%,0.02%,100.00%,100.00%,2,0,9.09%,0.00%,"￥10,560",￥0,2,0
B0D3HJMVDF,B0D3HJMVDF,【セット販売】銀のスプーン 三ツ星グルメ にゃんスプーン まぐろ味 40g（10g×4本）×4コ,pr_1296040_20241129_23453461_0001,18,0,0.00%,0.00%,32,0,0.00%,0.00%,43.75%,0.00%,2,0,11.11%,0.00%,"￥1,500",￥0,2,0
B0H2TM8PPN,B0D6G9RW9Y,レノア 超消臭 煮沸レベル 抗菌ビーズ スポーツ クールリフレッシュ＆シトラス 詰め替え 超特大 1410mL 抗菌 P＆G,pr_1296040_20251112_28504849_0001,"1,157",10,0.18%,0.16%,"1,441",13,0.15%,0.15%,5.77%,8.33%,2,0,0.17%,0.00%,"￥4,160",￥0,2,0
B0DD7BL5GJ,B0D9QDZ65L,PIGEON ピジョン 手動鼻吸い器 SHUPOT-pump　片手で簡単にお鼻すっきり吸引　持ち運び便利,pr_1296040_20251114_28533423_0001,"4,667",19,0.73%,0.31%,"6,281",21,0.67%,0.24%,0.09%,0.00%,2,0,0.04%,0.00%,"￥5,544",￥0,2,0
B0H8G9LLS7,B0DFFZZXQW,パナソニック 電動歯ブラシ ドルツ 【Amazon.co.jp限定】 ハイグレードモデル W音波振動 歯垢除去 黒 EW-NDPD6-K,pr_1296040_20251007_28095111_0001,"18,778",201,2.96%,3.23%,"33,523",288,3.59%,3.29%,0.64%,1.40%,2,1,0.01%,0.50%,"￥50,332","￥25,800",2,1
B0DKSGNRCF,B0DKSB8SFX,ドクターズチョイス ゴートミルク(ヤギミルク) 犬猫用みるく 120g ×3袋（オリジナルおしぼり付き） (3袋),B5-SO2A-XVKB,15,0,0.00%,0.00%,25,0,0.00%,0.00%,100.00%,0.00%,2,0,13.33%,0.00%,"￥10,560",￥0,2,0
B0DKSKVX6D,B0DKSRRB5W,ドクターズチョイス おいしい納豆菌 ふりかけタイプ 80g (3袋),PF-WKWV-G07K,18,0,0.00%,0.00%,20,0,0.00%,0.00%,100.00%,0.00%,2,0,11.11%,0.00%,"￥6,360",￥0,2,0
B0DMZNB3P1,B0DMZNB3P1,NEXXUS(ネクサス) 【セット買い】リペアアンドカラープロテクト シャンプー+コンディショナー(トリートメント) 各440g 1回分おまけ付き 日本製,pr_1296040_20251017_28199597_0001,111,1,0.02%,0.02%,128,1,0.01%,0.01%,1.69%,0.00%,2,0,1.80%,0.00%,"￥8,560",￥0,2,0
B0DNTLK9V1,B0DNTLK9V1,【セット品】イースター インコセレクション トータルペレット 300グラム (x 2) インコ 餌 主食,V0-CT6I-DA4T,38,1,0.01%,0.02%,51,1,0.01%,0.01%,100.00%,0.00%,2,0,5.26%,0.00%,"￥4,160",￥0,2,0
B0FZQTSZGJ,B0DPMJDJBR,【まとめ買い】 NEO(ネオ) ドッグスターNEO ササミ巻きクッキー チーズ 8本入 犬 犬用 おやつ (3袋),0Q-YO5X-HH69,24,0,0.00%,0.00%,26,0,0.00%,0.00%,96.15%,0.00%,11,0,45.83%,0.00%,"￥21,780",￥0,2,0
B0FVVCKSGS,B0DSPLJ25P,クーリア シール プレミアムオーロラスポンジシール エアリーチュチュ 91149,pr_1296040_20260704_31478550_0001,763,3,0.12%,0.05%,936,4,0.10%,0.05%,7.62%,0.00%,2,0,0.26%,0.00%,"￥1,100",￥0,2,0
B0F2SHJW4P,B0F2SHJW4P,ペッツルート (Petz Route) もっと虫よけ エリアスマイル 70日 M くま 中型犬・大型犬の散歩用,pr_1296040_20250628_26989393_0001,95,4,0.01%,0.06%,125,5,0.01%,0.06%,37.84%,100.00%,2,1,2.11%,25.00%,"￥2,400","￥1,200",2,1
B0GRSV7W2Z,B0FRS98197,クーリア バインダー バッグマイシールバインダー チャーミングルーム 01118,pr_1296040_20260330_30175439_0001,141,1,0.02%,0.02%,216,1,0.02%,0.01%,30.92%,0.00%,2,0,1.42%,0.00%,"￥1,920",￥0,2,0
B0GRSV7W2Z,B0FRSBPK5W,クーリア バインダー バッグマイシールバインダー キャンディツインズ 01116,pr_1296040_20260330_30175430_0001,121,1,0.02%,0.02%,170,1,0.02%,0.01%,7.55%,0.00%,3,0,2.48%,0.00%,"￥2,940",￥0,2,0
B0FV7XQ74Y,B0FV7XQ74Y,【5種セット】 いなば トッパーまぜて ちゅ〜るボール 5種 各2袋 計10袋 (まぐろ/かつお/とりささみ/まぐろかつお節味/とりささみ本格だし) 猫 おやつ キャットフード アソート まとめ買い,EI-5C18-LOJY,21,0,0.00%,0.00%,22,0,0.00%,0.00%,100.00%,0.00%,2,0,9.52%,0.00%,"￥5,960",￥0,2,0
B0FW4L9MB7,B0FW4HK2PT,クーリア シール ボンボンドロップシール ミニ しずくちゃん うるおいちゃん 04283,pr_1296040_20260709_31556026_0001,433,1,0.07%,0.02%,599,1,0.06%,0.01%,0.52%,0.00%,2,0,0.46%,0.00%,"￥3,049",￥0,2,0
B0G19XDTSM,B0G19XDTSM,【60枚セット】 使い捨て 貼る カイロ ぽかぽか家族 レギュラー 60枚 (10枚×6セット) 12時間持続 備蓄 防寒 寒さ対策 冬 通勤通学 レジャー スポーツ観戦 防災,QH-DRAD-SF6F,47,0,0.01%,0.00%,71,0,0.01%,0.00%,100.00%,0.00%,2,0,4.26%,0.00%,"￥5,560",￥0,2,0
B0G2XTW9P2,B0G2XTW9P2,【まとめ買い】エクセル セキセイインコ 主食 皮付き 1.3kg×2袋｜ナチュラルペットフーズ｜皮付きブレンド フード 餌 エサ 国産,DP-96PK-TQ5B,24,0,0.00%,0.00%,33,0,0.00%,0.00%,100.00%,0.00%,2,0,8.33%,0.00%,"￥4,760",￥0,2,0
B0GSQGJVRH,B0GSQ6WXPC,クーリア シール キラシャカジュエリーシール ナイトミャウ 01208,pr_1296040_20260709_31555928_0001,584,3,0.09%,0.05%,705,3,0.08%,0.03%,13.53%,33.33%,2,0,0.34%,0.00%,"￥1,000",￥0,2,0
B0GSQDZB5N,B0GSQC8JP3,クーリア バインダー ボンボンドロップシールバインダーセット マイリボンクローゼット 01225,pr_1296040_F_20260401_30192233_0001,715,3,0.11%,0.05%,962,4,0.10%,0.05%,1.30%,0.00%,2,0,0.28%,0.00%,"￥3,334",￥0,2,0
B0GTNG6XZR,B0GTN9B64K,クーリア バインダー キラキラシールバインダー リボンA 01278,pr_1296040_20260709_31556627_0001,665,1,0.10%,0.02%,990,1,0.11%,0.01%,28.60%,0.00%,3,0,0.45%,0.00%,"￥1,800",￥0,2,0
B0GXMH2SLH,B0GXMH2SLH,サンライズ ゴン太の歯磨き専用ガムSSサイズ L8020乳酸菌入り 低脂肪タイプ 120g 3袋セット,JZ-BNL4-2INJ,27,0,0.00%,0.00%,38,0,0.00%,0.00%,100.00%,0.00%,2,0,7.41%,0.00%,"￥2,560",￥0,2,0
B0GXN9DY7W,B0GXN9DY7W,サンライズ ゴン太の歯磨き専用ガムSSサイズ L8020乳酸菌入り クロロフィル入り 120g 3袋セット,D7-BXRO-2MNC,43,1,0.01%,0.02%,56,1,0.01%,0.01%,100.00%,100.00%,2,0,4.65%,0.00%,"￥2,560",￥0,2,0
B0H7FL2FYZ,B0H2W8TN9T,【まとめ買い】ロッシモイストエイド 馬油ナチュラルミルクローション 485ml×4個 オリジナルスパウトパウチ付き 大容量 ボディミルク 保湿 乾燥肌 全身用 家族用 ポンプタイプ スキンケア (4),HR-ZDMA-9O7N,40,1,0.01%,0.02%,61,1,0.01%,0.01%,100.00%,100.00%,2,0,5.00%,0.00%,"￥7,160",￥0,2,0
B0H5Q8RLQS,B0H5Q8RLQS,ミツエイ シャルム フレグランスムスク 柔軟剤 詰替 800ml オリジナルスパウトパウチ付き 詰め替え シャルムフレグランスムスクの香り 大容量 衣類 ふんわり 消臭 抗菌 静電気防止 部屋干し 柔軟仕上げ,W6-BU9G-4QO9,19,0,0.00%,0.00%,29,0,0.00%,0.00%,100.00%,0.00%,2,0,10.53%,0.00%,"￥2,360",￥0,2,0
B0H9JY5P2B,B0H9JY5P2B,【セット品】アリエール ジェルボール 爽快クール 涼感 リフレッシュクールの香り 大容量98個セット 85個＋13個 洗濯洗剤 消臭 まとめ買い ドラム式 縦型 P&G 日用品 夏季限定,U0-T38P-KB1V,59,0,0.01%,0.00%,107,0,0.01%,0.00%,100.00%,0.00%,2,0,3.39%,0.00%,"￥10,960",￥0,2,0
B0HC1KZX44,B0HC1KZX44,【セット品】クーリア クリアジェムステッカー 6種セット エンジェル ストロベリー レモン グレープ ソーダ プラネット 透明 ジェムシール デコレーション 手帳 ノート スマホ コラージュ,93-84SQ-JQ69,22,0,0.00%,0.00%,30,0,0.00%,0.00%,100.00%,0.00%,2,0,9.09%,0.00%,"￥4,960",￥0,2,0
B08V51YHQR,B000FQORIA,柳屋本店 ヘアトニック 微香性シトラス240ml 【HTRC3】,pr_1296040_20260713_31611410_0001,840,6,0.13%,0.10%,"1,395",6,0.15%,0.07%,0.16%,0.00%,1,0,0.12%,0.00%,"￥1,258",￥0,1,0
B079NJRBN3,B004KCX1BY,いなば とろみ とりささみ 80g 48個セット,pr_1296040_20250611_26567746_0001,9,0,0.00%,0.00%,15,0,0.00%,0.00%,86.67%,0.00%,1,0,11.11%,0.00%,"￥6,138",￥0,1,0
B016W85WOC,B004VK6QGC,ペティオ (Petio) プレシャンテ ピンブラシ 長毛犬・長毛猫用 L サイズ,pr_1296040_20260114_29254257_0001,4,0,0.00%,0.00%,5,0,0.00%,0.00%,100.00%,0.00%,1,0,25.00%,0.00%,"￥1,799",￥0,1,0
B00764ROYI,B00764ROYI,Intex Underwater Play Sticks,pr_1296040_20251025_28288825_0001,53,3,0.01%,0.05%,73,3,0.01%,0.03%,73.91%,66.67%,1,0,1.89%,0.00%,"￥1,540",￥0,1,0
B0DB26NNNR,B009KI3DFM,ショーワグローブ(Showaglove) 【ニトリル手袋・使いきり手袋】No.882 ニトリスト・タッチ 100枚入 ブルー Lサイズ 1函 左右兼用 食品衛生法適合 パウダーフリー ラテックスフリー,pr_1296040_20260515_30803191_0001,"5,820",436,0.92%,7.00%,"8,244",618,0.88%,7.05%,0.00%,0.00%,1,0,0.02%,0.00%,"￥1,800",￥0,1,0
B00H4QPH2E,B00H4QPH2E,【まとめ買い】キーピング アイロン用 スムーザー つめかえ用 ×2セット,pr_1296040_20260730_31830689_0001,40,2,0.01%,0.03%,51,3,0.01%,0.03%,12.00%,0.00%,1,0,2.50%,0.00%,￥900,￥0,1,0
B07BZ2WYR7,B00IHQIPTW,ペティオ (Petio) プレシャンテ 短毛犬用 回転スリッカーブラシ レギュラー,pr_1296040_20260710_31566344_0001,1,0,0.00%,0.00%,2,0,0.00%,0.00%,50.00%,0.00%,1,0,100.00%,0.00%,"￥1,890",￥0,1,0
B0DK4ZC16Z,B00IHQIS9Y,ペティオ (Petio) プレシャンテ ネイルカッター ストッパー付 犬用,pr_1296040_20250920_27908118_0001,89,0,0.01%,0.00%,116,0,0.01%,0.00%,31.25%,0.00%,1,0,1.12%,0.00%,"￥1,280",￥0,1,0
B00IIJNGRE,B00IIJNGRE,ピジョン 全身泡ソープ しっとり 詰替用 400ml,pr_1296040_20260331_30184071_0001,1,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,￥680,￥0,1,0
B00PTLEHA4,B00PTLEHA4,チョイめし ドッグフード 親子丼 80グラム (x 10) (まとめ買い),pr_1296040_20250718_27233680_0001,95,1,0.01%,0.02%,142,1,0.02%,0.01%,0.78%,0.00%,1,0,1.05%,0.00%,"￥1,498",￥0,1,0
B00PTQX0IE,B00PTQX0IE,チョイめし ドッグフード なんか良さそう習慣 80グラム (x 10) (まとめ買い),pr_1296040_20250718_27233688_0001,45,1,0.01%,0.02%,70,1,0.01%,0.01%,3.45%,0.00%,1,0,2.22%,0.00%,"￥1,498",￥0,1,0
