"Amazon 出品サービス、フルフィルメント by Amazon (FBA)"
"指定のない場合、単位は円"
"定義："
"日付/時刻：トランザクションの掲載日/時刻"
"売上税徴収額：商品売上、配送料、ギフト包装料として購入者から徴収した売上税"
"販売手数料：カテゴリー成約料と販売手数料が含まれます。"
"トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料"
"その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。"
"注：開始日が2025年1月1日以降のレポートには、掲載日でインデックスが作成されています。決済済みトランザクションと留保中トランザクションの両方が含まれており、2つの新しい列があります。 インテグレーションやサードパーティのマッピングを更新することが必要になる場合があります。"
"日付/時間","決済番号","トランザクションの種類","注文番号","SKU","説明","数量","Amazon 出品サービス","フルフィルメント","市町村","都道府県","郵便番号","税金徴収型","商品売上","商品の売上税","配送料","配送料の税金","ギフト包装手数料","ギフト包装クレジットの税金","Amazonポイントの費用","プロモーション割引額","プロモーション割引の税金","源泉徴収税を伴うマーケットプレイス","手数料","FBA 手数料","トランザクションに関するその他の手数料","その他","合計","トランザクションのステータス","トランザクション開始日"
"2026/07/01 14:13:27 JST","12372724483","配送サービス","250-6200995-7457425","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:27 JST"
"2026/07/01 14:13:27 JST","12372724483","配送サービス","250-9273236-2416622","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:27 JST"
"2026/07/01 14:13:27 JST","12372724483","配送サービス","249-8909442-5758246","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:27 JST"
"2026/07/01 14:13:30 JST","12372724483","配送サービス","249-0254139-6509456","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:30 JST"
"2026/07/01 14:13:31 JST","12372724483","配送サービス","250-3214190-3095855","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:31 JST"
"2026/07/01 14:13:31 JST","12372724483","配送サービス","249-1749435-5163050","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:31 JST"
"2026/07/01 14:13:37 JST","12372724483","配送サービス","250-0690406-3063805","","Amazon 経由で購入した配送ラベル","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-185","-185","支払い実行済み","2026/07/01 14:13:37 JST"
"2026/07/01 14:13:51 JST","12385292663","注文","250-9584592-2083822","pr_1296040_F_20240515_20942635_0001","ロイヤルカナン ヘアボール ケア 毛玉が気になる成猫用 400g 便秘 栄養 (1)","1","amazon.jp","出品者","","神奈川県","231-002","","1,800","180","0","0","0","0","0","0","0","0","-336","0","0","0","1,644","支払い実行済み","2026/07/09 15:08:21 JST"
"2026/07/01 14:13:53 JST","12385292663","注文","250-2029737-9265407","pr_1296040_20250625_26753510_0001","ペティオ (Petio) 犬猫用マット 電気を使わない アルミ＆ジェル ソフトクールマット 2L","1","amazon.jp","出品者","","岩手県","023-000","","1,800","180","0","0","0","0","0","0","0","0","-336","0","0","0","1,644","支払い実行済み","2026/07/09 22:45:37 JST"
"2026/07/01 14:14:00 JST","12385292663","注文","250-5900194-9030205","FP-WPBG-5O5W","【セット品】ペットライン 懐石 2つのごほうび 4種セット キャットフード ドライ 総合栄養食 国産 小分けタイ�","1","amazon.jp","出品者","","神奈川県","222-000","","4,164","416","0","0","0","0","0","0","0","0","-776","0","0","0","3,804","支払い実行済み","2026/07/10 0:44:49 JST"
"2026/07/01 14:14:17 JST","12385292663","注文","503-7532027-2116604","HR-ZDMA-9O7N","【まとめ買い】ロッシモイストエイド 馬油ナチュラルミルクローション 485ml×4個 オリジナルスパウトパウチ付�","1","amazon.jp","出品者","","福岡県","806-004","","3,254","326","273","27","0","0","0","0","0","0","-444","0","0","0","3,436","支払い実行済み","2026/07/10 11:42:10 JST"
"2026/07/01 14:14:19 JST","12385292663","注文","250-1310843-8180657","9P-8PHK-967H","【まとめ買い】潤素肌 薬用和ハッカ 水ミスト 250mL×6個 オリジナルスパウトパウチ付き 化粧水 ミスト ハッカ �","1","amazon.jp","出品者","","大阪府","556-000","","3,618","362","0","0","0","0","0","0","0","0","-455","0","0","0","3,525","支払い実行済み","2026/07/09 11:58:48 JST"
"2026/07/01 14:14:23 JST","12385292663","注文","250-2171396-6886246","HR-ZDMA-9O7N","【まとめ買い】ロッシモイストエイド 馬油ナチュラルミルクローション 485ml×4個 オリジナルスパウトパウチ付�","1","amazon.jp","出品者","","富山県","937-085","","3,255","325","0","0","0","0","0","0","0","0","-409","0","0","0","3,171","支払い実行済み","2026/07/09 9:49:15 JST"
"2026/07/01 14:14:29 JST","12385292663","注文","249-9618619-8239865","pr_1296040_20251120_28634907_0001","肌ラボ 白潤 薬用美白化粧水 しっとり 大容量ポンプ 400ml","1","amazon.jp","出品者","","兵庫県","650-004","","1,839","184","0","0","0","0","0","0","0","0","-231","0","0","0","1,792","支払い実行済み","2026/07/09 21:58:04 JST"
"2026/07/01 14:14:31 JST","12385292663","注文","250-5204592-3348613","pr_1296040_20260617_31248168_0001","デビフ 鶏肉&さつまいも 150g×3個 【まとめ買い】150グラム (x 3)","2","amazon.jp","出品者","","東京都","151-006","","2,398","240","0","0","0","0","0","0","0","0","-244","0","0","0","2,394","支払い実行済み","2026/07/10 2:08:16 JST"
"2026/07/01 14:14:33 JST","12385292663","注文","503-0556664-8245418","pr_1296040_20260108_29191932_0001","日本カルシウム工業 冷水筒浄水パック 水道水の塩素・カルキを99%カット アルカリイオン水が簡単","1","amazon.jp","出品者","","東京都","194-001","","1,255","125","0","0","0","0","0","0","0","0","-234","0","0","0","1,146","支払い実行済み","2026/07/09 22:06:56 JST"
"2026/07/01 14:14:36 JST","12385292663","注文","249-8909442-5758246","pr_1296040_20260330_30175449_0001","クーリア シールバインダー とうめいシールバインダー クリア 01065","1","amazon.jp","出品者","","愛知県","444-090","","1,091","109","0","0","0","0","0","0","0","0","-204","0","0","0","996","支払い実行済み","2026/07/09 21:06:55 JST"
"2026/07/01 14:14:36 JST","12385292663","注文","250-6931027-1575035","pr_1296040_20250710_27144663_0001","アース・バイオケミカル スタミノール 子いぬ・子ねこ用 100g","1","amazon.jp","出品者","","埼玉県","352-000","","1,591","159","0","0","0","0","0","0","0","0","-297","0","0","0","1,453","支払い実行済み","2026/07/10 3:46:30 JST"
